name,country,total_patents,inventor_rank
Kangguo Cheng,US,56,1
Shunpei Yamazaki,JP,52,2
Roderick A. Hyde,US,32,3
Jason K. Resch,US,28,4
Hanbyul Seo,KR,26,5
Suckchel Yang,KR,26,5
Alexander Reznicek,US,24,7
Joonkui Ahn,KR,24,7
Aed M. Dudar,US,23,9
Devendra K. Sadana,US,23,9
"Frederick E. Shelton, IV",US,23,9
"Lowell L. Wood, JR.",US,23,9
Chen-Hua Yu,TW,22,13
Jordin T. Kare,US,22,13
Ruilong Xie,US,22,13
Seungmin LEE,KR,22,13
Xue Dong,CN,22,13
Tao Luo,US,21,18
Sarbajit K. Rakshit,IN,20,19
Stuart C. Salter,US,20,19
